features,layers,momentum,mean_score,std_score
1,2,0.0,0.5720713518673188,0.19122339656424964
1,2,0.3,0.7077866603030664,0.030942855237850037
1,2,0.1,0.7105476673427991,0.011825611924046874
1,2,0.5,0.7119269776876267,0.01231469732095369
1,2,0.9,0.6729590740961698,0.12893170617393424
1,3,0.0,0.6670970051306526,0.12745446663227503
1,3,0.3,0.7015535139004891,0.020087993042447776
1,3,0.1,0.7091456866722348,0.015675896469198553
1,3,0.5,0.6959957045698604,0.034653769548704215
1,3,0.9,0.7119245913375492,0.009791461033242119
1,5,0.0,0.6693532991289822,0.12872090012219664
1,5,0.3,0.7133003221572604,0.003634764677016721
1,5,0.1,0.6898234100942607,0.03500759925176499
1,5,0.5,0.6724794177305811,0.09788236898365697
1,5,0.9,0.7053513900489201,0.019658341644922677
1,8,0.0,0.7088139840114545,0.011608971445624516
1,8,0.3,0.6974382531917431,0.03971305339012962
1,8,0.1,0.7115630593007994,0.016240784433948153
1,8,0.5,0.6662391122777711,0.12619813558659984
1,8,0.9,0.7129543013960148,0.003498400811730462
1,10,0.0,0.7036117408423815,0.020314890462587533
1,10,0.3,0.7153716740245794,0.006361946313435179
1,10,0.1,0.7070767211549934,0.01079643225630187
1,10,0.5,0.7143383844409974,0.0027402638324194807
1,10,0.9,0.7084536451497434,0.017457521936090417
2,2,0.0,0.5734876506383486,0.18972515860254296
2,2,0.3,0.6905297697172175,0.060348914275817366
2,2,0.1,0.7088032454361055,0.011698554992954767
2,2,0.5,0.7136487292685836,0.004696196443255011
2,2,0.9,0.6356938312850494,0.13845122624945708
2,3,0.0,0.6960613291969932,0.044641366596544114
2,3,0.3,0.6918553871853,0.03220166348694741
2,3,0.1,0.7095107982341009,0.012198457497789122
2,3,0.5,0.7074382531917431,0.02344635718336521
2,3,0.9,0.7015570934256055,0.015784586727204328
2,5,0.0,0.7053657081493855,0.013976998316346157
2,5,0.3,0.7053418446486099,0.022361213818397885
2,5,0.1,0.6870922324304976,0.04966493997165351
2,5,0.5,0.6746008829495287,0.0713046099288485
2,5,0.9,0.6569096766495643,0.12529338306999765
2,8,0.0,0.7039804319293641,0.016547422919320473
2,8,0.3,0.6698365350196873,0.08441111039494835
2,8,0.1,0.7012218112397088,0.03191366885827566
2,8,0.5,0.7060637155470707,0.019865899876075867
2,8,0.9,0.7170993914807302,0.003495271611107867
2,10,0.0,0.698816370361532,0.02696642151201628
2,10,0.3,0.7070635962295668,0.026162053931538344
2,10,0.1,0.7063930318577734,0.01531568124600039
2,10,0.5,0.7001706240305452,0.01777558362620524
