features,layers,momentum,mean_score,std_score,time
1,2,0.0,0.5724257248538361,0.14005890546312985,3667
1,2,0.3,0.6997971602434077,0.051262685114273385,1433
1,2,0.1,0.6348669609831761,0.11488849074915397,2929
1,2,0.5,0.7146820188521655,0.001322124628382947,1689
1,2,0.9,0.7150280396134112,0.0012349361651354251,750
1,3,0.0,0.6932764586564849,0.030250314408076618,2848
1,3,0.3,0.7129519150459371,0.005932111233412889,2024
1,3,0.1,0.6936356043431571,0.034472431857802396,3161
1,3,0.5,0.7146832120272043,0.0018565834276243471,1277
1,3,0.9,0.7150280396134112,0.0012349361651354251,1702
1,5,0.0,0.6963429185061447,0.03829949555044728,1656
1,5,0.3,0.7150280396134112,0.0012349361651354251,1551
1,5,0.1,0.7057057630354372,0.01613254795849007,2017
1,5,0.5,0.7060446247464502,0.018183565747037347,2369
1,5,0.9,0.7160661018971483,0.002999648929357193,1506
1,8,0.0,0.699832955494571,0.029899886119397964,2048
1,8,0.3,0.710875790478463,0.01210124365481725,1577
1,8,0.1,0.7160637155470707,0.002357383254591058,2026
1,8,0.5,0.7129543013960147,0.003498400811730462,1549
1,8,0.9,0.7150280396134112,0.0012349361651354251,940
1,10,0.0,0.6981135902636916,0.037087890427064174,2144
1,10,0.3,0.7033039016823767,0.035603102157500184,3245
1,10,0.1,0.69741200334089,0.03069816936724483,2599
1,10,0.5,0.7150280396134112,0.0012349361651354251,1524
1,10,0.9,0.7150280396134112,0.0012349361651354251,935
2,2,0.0,0.670774370600167,0.06529864174589689,2793
2,2,0.3,0.6932502088056317,0.040950619110616995,2415
2,2,0.1,0.6573320606132921,0.06853847208055018,4382
2,2,0.5,0.6963429185061448,0.03650689452884388,1472
2,2,0.9,0.7146820188521655,0.001322124628382947,1305
2,3,0.0,0.6403567593365946,0.10782266605568486,2365
2,3,0.3,0.6776888199498866,0.05535682927351223,2137
2,3,0.1,0.6741963966113829,0.07197818412201937,1715
2,3,0.5,0.6936367975181958,0.04291967576884882,1787
2,3,0.9,0.7139899773296742,0.0029426766326790615,1344
2,5,0.0,0.6794463667820069,0.05129030030632241,2672
2,5,0.3,0.6839064550769598,0.05054837286697379,1804
2,5,0.1,0.6718052738336714,0.04146694275307362,2243
2,5,0.5,0.698080181362606,0.04251033319777904,1231
2,5,0.9,0.714685598377282,0.004600310462194177,1075
2,8,0.0,0.7098532394702303,0.008135554960011499,1762
2,8,0.3,0.7101992602314758,0.013804844206834954,1407
2,8,0.1,0.6967318935687865,0.028178729371456886,3356
2,8,0.5,0.7170934256055361,0.00970154063834712,1573
2,8,0.9,0.7150280396134112,0.0012349361651354251,746
2,10,0.0,0.7025712922085671,0.021385572331488814,1850
2,10,0.3,0.7067426321441356,0.017295734985387393,1817
2,10,0.1,0.6497351151413912,0.0564807220153422,3112
2,10,0.5,0.6998150578689893,0.020888368663989954,2304
2,10,0.9,0.7150280396134112,0.0012349361651354251,1079
3,2,0.0,0.6338754325259515,0.07167192709716194,3687
3,2,0.3,0.7139923636797517,0.002693459124763616,1945
3,2,0.1,0.654674859801933,0.08936674726314599,3656
3,2,0.5,0.6846175874000715,0.05382367285007517,1952
3,2,0.9,0.7091528457224674,0.011461732145964004,1156
3,3,0.0,0.6514019806705644,0.09147474516592516,2368
3,3,0.3,0.7091456866722348,0.01610924815178808,2553
3,3,0.1,0.7091576184226225,0.009229060837395687,1797
3,3,0.5,0.6590323350435509,0.05952044204902582,2673
3,3,0.9,0.7136439565684285,0.002401937221909413,1183
3,5,0.0,0.6645459968977449,0.08123346836413879,2581
3,5,0.3,0.6811526070874596,0.03538640842831509,2003
3,5,0.1,0.6673821739649206,0.04141056332381504,2382
3,5,0.5,0.7001730103806227,0.029786376955028483,1761
3,5,0.9,0.7088020522610667,0.012129151062420122,1263
3,8,0.0,0.6673714353895717,0.051467859768234654,1956
3,8,0.3,0.7108853358787733,0.02197240114522722,1964
3,8,0.1,0.6832287316549338,0.03993604346225772,1540
3,8,0.5,0.705346617348765,0.020509029263207378,1694
3,8,0.9,0.71502923278845,0.0032259808010624766,853
3,10,0.0,0.7095072187089846,0.01840356196784273,1845
3,10,0.3,0.7046605417014675,0.015451246541000767,1817
3,10,0.1,0.6912062999642047,0.02705916225473233,2503
3,10,0.5,0.7036236725927694,0.023188556789878342,1492
3,10,0.9,0.7101921011812433,0.011732789083313223,964
4,2,0.0,0.6787793819353298,0.061764212613777826,2843
4,2,0.3,0.7043312253907648,0.022815308913725504,3365
4,2,0.1,0.6278928528815176,0.11752945076364663,3170
4,2,0.5,0.6628850972437657,0.08471983805033172,2442
4,2,0.9,0.706729507218709,0.014663237726181003,1595
4,3,0.0,0.6034733325378833,0.09728442619420082,3345
4,3,0.3,0.6891039255458775,0.042366940584961474,2203
4,3,0.1,0.6766710416418088,0.044623997295987546,2805
4,3,0.5,0.7005273833671399,0.015262757996128029,3541
4,3,0.9,0.6894785825080538,0.047996725255630555,1732
4,5,0.0,0.6936320248180408,0.024997053541069136,2600
4,5,0.3,0.6887602911347094,0.037017712059317226,2868
4,5,0.1,0.6722515212981744,0.05078323477431518,2343
4,5,0.5,0.686363202481804,0.037735847873489714,2271
4,5,0.9,0.7160661018971484,0.00256968604213299,1227
4,8,0.0,0.6708053931511753,0.03449725772738046,2146
4,8,0.3,0.6987841546354849,0.02925500201866145,2802
4,8,0.1,0.6950077556377521,0.036291015857804476,1981
4,8,0.5,0.7029352105953943,0.03539682932040046,2056
4,8,0.9,0.7074299009664717,0.013106027168476121,1000
4,10,0.0,0.6797685240424771,0.04082557997375953,2026
4,10,0.3,0.6835914568667224,0.04867924694719086,1990
4,10,0.1,0.707079107505071,0.017827681049817266,1628
4,10,0.5,0.710532156067295,0.014605355427733835,1543
4,10,0.9,0.7091373344469634,0.020084904223973712,1054
5,2,0.0,0.6911967545638944,0.028720610392239915,2036
5,2,0.3,0.6483223958954778,0.08860428686005238,2422
5,2,0.1,0.6214341963966115,0.09634197941097039,3860
5,2,0.5,0.6425211788569383,0.07229435430285786,2674
5,2,0.9,0.704997017062403,0.02187811021994922,1757
5,3,0.0,0.6473523445889511,0.1079179127762108,2555
5,3,0.3,0.6798162510440282,0.05162243122385896,2339
5,3,0.1,0.6770182555780933,0.03147379338275103,2466
5,3,0.5,0.6991468798472736,0.02079654615968619,1956
5,3,0.9,0.6984333611740843,0.022143116510279563,1107
5,5,0.0,0.6539076482519985,0.045806754930778355,2609
5,5,0.3,0.6925462355327527,0.04278389718570146,1476
5,5,0.1,0.6497601718172056,0.05278706625355255,3459
5,5,0.5,0.6808304498269896,0.04581178157066683,1034
5,5,0.9,0.7084536451497434,0.016669743590701322,1310
5,8,0.0,0.6974060374656963,0.0250883619630088,1523
5,8,0.3,0.6932669132561747,0.020139715289975133,2237
5,8,0.1,0.6766531440162271,0.03471951362981889,2676
5,8,0.5,0.7056986039852047,0.02366074176724026,1719
5,8,0.9,0.70708984608042,0.015314159499698596,1041
5,10,0.0,0.6891158572962653,0.030265099619945713,1948
5,10,0.3,0.6991421071471186,0.01520545815537093,1376
5,10,0.1,0.7074239350912779,0.011423800539262868,1485
5,10,0.5,0.7036356043431572,0.011513778136734593,1834
5,10,0.9,0.7174489917670922,0.005007521801825743,853
6,2,0.0,0.6901431810046533,0.0475127764234831,4430028
6,2,0.3,0.7005309628922561,0.0285983797737541,3369
6,2,0.1,0.6991182436463429,0.04902434640033921,4807
6,2,0.5,0.6780085908602792,0.07022256046192761,2886
6,2,0.9,0.6988092113112992,0.04247213197486536,1680
6,3,0.0,0.6645686672234816,0.0379385152978669,2547
6,3,0.3,0.7056902517599332,0.020051521091122973,2420
6,3,0.1,0.6456067295072188,0.052767877892552856,3934
6,3,0.5,0.6960326929960625,0.03303547772186482,2157
6,3,0.9,0.7126070874597303,0.007399621394674813,1807
6,5,0.0,0.6904939744660542,0.03606340281345152,3912
6,5,0.3,0.688391600047727,0.04022038532869051,1979
6,5,0.1,0.6745996897744899,0.036458725991698596,2367
6,5,0.5,0.696379906932347,0.03531780144554199,4026
6,5,0.9,0.7077842739529888,0.01987891077208787,1318
6,8,0.0,0.68915045937239,0.03670807420363191,2750
6,8,0.3,0.6867032573678559,0.029754716830133837,1494
6,8,0.1,0.698773416060136,0.0340133098263706,1806
6,8,0.5,0.7043157141152607,0.016112812657894705,2331
6,8,0.9,0.7115773774012648,0.00529611692012771,812
6,10,0.0,0.6963667820069205,0.030026675626171246,2276
6,10,0.3,0.6918756711609593,0.029356897397473814,2014
6,10,0.1,0.6863381458059897,0.036333239078618844,1813
6,10,0.5,0.7005202243169073,0.025909604723179408,2212
6,10,0.9,0.7143359980909199,0.003701963765472547,1017
7,2,0.0,0.5609772103567594,0.14894536643221887,5448
7,2,0.3,0.6887579047846318,0.043332414465392564,2890
7,2,0.1,0.681166925187925,0.03385444434513942,2394
7,2,0.5,0.7108889154038898,0.008730120530427647,2463
7,2,0.9,0.7077544445770194,0.018760399653145562,1591
7,3,0.0,0.6891218231714591,0.03223025787316439,2141
7,3,0.3,0.693948216203317,0.034463902868636556,1726
7,3,0.1,0.6669836535019688,0.0418950532710312,3840
7,3,0.5,0.6704784631905502,0.05132105132338778,1751
7,3,0.9,0.7029196993198903,0.018491665727854996,1430
7,5,0.0,0.6856735473093903,0.031155860740475546,2328
7,5,0.3,0.6683748955971841,0.056824546584143265,2626
7,5,0.1,0.6797935807182913,0.03607043894034161,2765
7,5,0.5,0.6946390645507695,0.029134257070392463,2349
7,5,0.9,0.6956628087340414,0.020461438126930367,1482
7,8,0.0,0.6915594797756831,0.03377034912422719,2008
7,8,0.3,0.6635604343157142,0.026257372201844358,2077
7,8,0.1,0.674233385037585,0.04096410039293596,1690
7,8,0.5,0.6894690371077437,0.041853122867015764,2107
7,8,0.9,0.7088151771864932,0.012583553192212896,1319
7,10,0.0,0.6645925307242573,0.04242453988363664,2004
7,10,0.3,0.6877389333015154,0.028731669402509014,1937
7,10,0.1,0.6911824364634291,0.02541322056451088,1914
7,10,0.5,0.705357355924114,0.028845265061997912,1655
7,10,0.9,0.7108841427037346,0.013836861339396652,1357
8,2,0.0,0.6529149266197352,0.08966904145305847,3530
8,2,0.3,0.6967247345185538,0.019724427956733716,2174
8,2,0.1,0.6579835341844648,0.0627445216378286,2973
8,2,0.5,0.6821847034960029,0.06281361432065924,2383
8,2,0.9,0.7119174322873165,0.00861457140918702,1553
8,3,0.0,0.6832179930795848,0.029070540861866598,2501
8,3,0.3,0.6535055482639304,0.07381839495164226,2590
8,3,0.1,0.6279167163822933,0.09934602197495757,2651
8,3,0.5,0.6797637513423219,0.04444833328478774,1936
8,3,0.9,0.7088235294117647,0.019294945852318588,1437
8,5,0.0,0.6694189237561151,0.03464291415633602,3680
8,5,0.3,0.6963918386827347,0.022720493602700505,2533
8,5,0.1,0.6953478105238039,0.02338984254463599,2718
8,5,0.5,0.6821835103209641,0.046457809591655345,2247
8,5,0.9,0.712258680348407,0.013298111329620426,1698
8,8,0.0,0.6753120152726406,0.03112454503239639,2659
8,8,0.3,0.6891003460207613,0.04864344487104805,1820
8,8,0.1,0.6843025891898342,0.03691574863731536,2690
8,8,0.5,0.6849862784870541,0.03270946167262133,1776
8,8,0.9,0.7070695621047608,0.01655439639518476,1137
8,10,0.0,0.6732191862546236,0.048502955491534154,2301
8,10,0.3,0.6839708865290538,0.042724517696803854,2259
8,10,0.1,0.7108877222288509,0.014524125512664658,2087
8,10,0.5,0.6991385276220022,0.018819823821038677,1522
8,10,0.9,0.7098365350196875,0.013900839673311897,1232
9,2,0.0,0.6829196993198902,0.03471668057468842,4590
9,2,0.3,0.6898174442190669,0.03010672078264705,3045
9,2,0.1,0.6605154516167522,0.049940530978353416,2572
9,2,0.5,0.6748908244839519,0.05146135563805405,3100
9,2,0.9,0.7043025891898342,0.026431225308890263,1584
9,3,0.0,0.6435007755637752,0.0647370350939584,2572
9,3,0.3,0.7005464741677604,0.0335854056192966,2252
9,3,0.1,0.6863703615320367,0.037495208475384526,2862
9,3,0.5,0.6891254026965755,0.029673952421153463,1875
9,3,0.9,0.7053501968738815,0.018599393148522204,1612
9,5,0.0,0.652120272043909,0.05118128043688526,2619
9,5,0.3,0.6935890705166448,0.014428485178065886,2111
9,5,0.1,0.6905190311418685,0.01973893322073556,2932
9,5,0.5,0.6949838921369765,0.024842817911910304,1552
9,5,0.9,0.7125975420594202,0.013229654296718865,1389
9,8,0.0,0.683587877341606,0.0300272583311586,2184
9,8,0.3,0.6991528457224675,0.020191200480747403,1409
9,8,0.1,0.683577138766257,0.016925669856620012,2451
9,8,0.5,0.6988151771864931,0.022925031308200183,1548
9,8,0.9,0.7084476792745495,0.01698726952544648,1223
9,10,0.0,0.6846128146999164,0.027579734607722284,2469
9,10,0.3,0.6784071113232312,0.02889943989286863,2146
