features,layers,momentum,mean_score,std_score
1,5,0.0,0.7143359980909199,0.002031281945922031
1,5,0.1,0.7119245913375492,0.00876628421236814
1,5,0.5,0.7143359980909199,0.002031281945922031
1,5,0.9,0.7146832120272043,0.0018565834276243471
1,10,0.0,0.7139923636797517,0.002693459124763616
1,10,0.1,0.713302708507338,0.003766736432388033
1,10,0.5,0.7150280396134112,0.0012349361651354251
1,10,0.9,0.7150280396134112,0.0012349361651354251
1,15,0.0,0.713646342918506,0.0026001802837211903
1,15,0.1,0.7150280396134112,0.0012349361651354251
1,15,0.5,0.7150280396134112,0.0012349361651354251
1,15,0.9,0.7146832120272043,0.0018565834276243471
1,100,0.0,0.7150280396134112,0.0012349361651354251
1,100,0.1,0.7150280396134112,0.0012349361651354251
1,100,0.5,0.7150280396134112,0.0012349361651354251
1,100,0.9,0.7150280396134112,0.0012349361651354251
1,150,0.0,0.7150280396134112,0.0012349361651354251
1,150,0.1,0.7150280396134112,0.0012349361651354251
1,150,0.5,0.7150280396134112,0.0012349361651354251
1,150,0.9,0.7150280396134112,0.0012349361651354251
2,5,0.0,0.7008578928528815,0.029403320969661237
2,5,0.1,0.7081267151891182,0.013961189597444568
2,5,0.5,0.7139899773296742,0.0019672648718446666
2,5,0.9,0.7150280396134112,0.0012349361651354251
2,10,0.0,0.7129554945710536,0.003729456736416723
2,10,0.1,0.7139899773296741,0.002942676632679061
2,10,0.5,0.712957880921131,0.004696234488819312
2,10,0.9,0.7146820188521655,0.001322124628382947
2,15,0.0,0.7129519150459372,0.0029747710666058616
2,15,0.1,0.7143359980909199,0.002031281945922031
2,15,0.5,0.7150280396134112,0.0012349361651354251
2,15,0.9,0.7150280396134112,0.0012349361651354251
2,100,0.0,0.7143359980909199,0.002031281945922031
2,100,0.1,0.7150280396134112,0.0012349361651354251
2,100,0.5,0.7150280396134112,0.0012349361651354251
2,100,0.9,0.7150280396134112,0.0012349361651354251
2,150,0.0,0.7150280396134112,0.0012349361651354251
2,150,0.1,0.7150280396134112,0.0012349361651354251
2,150,0.5,0.7150280396134112,0.0012349361651354251
2,150,0.9,0.7150280396134112,0.0012349361651354251
3,5,0.0,0.7126094738098078,0.0035679796304668955
3,5,0.1,0.712614246509963,0.006011920625191272
3,5,0.5,0.7139935568547905,0.003702904113607343
3,5,0.9,0.7150280396134112,0.0012349361651354251
3,10,0.0,0.7143359980909199,0.002031281945922031
3,10,0.1,0.7084691564252475,0.00920649994001265
3,10,0.5,0.7133003221572604,0.00329141200294083
3,10,0.9,0.7139899773296742,0.0019672648718446666
3,15,0.0,0.7133039016823768,0.004274178826788344
3,15,0.1,0.7112337429900966,0.00641655379256517
3,15,0.5,0.7129578809211311,0.003862674529573968
3,15,0.9,0.7146832120272043,0.0018565834276243471
3,100,0.0,0.7150280396134112,0.0012349361651354251
3,100,0.1,0.7150280396134112,0.0012349361651354251
3,100,0.5,0.7150280396134112,0.0012349361651354251
3,100,0.9,0.7150280396134112,0.0012349361651354251
3,150,0.0,0.7150280396134112,0.0012349361651354251
3,150,0.1,0.7150280396134112,0.0012349361651354251
3,150,0.5,0.7150280396134112,0.0012349361651354251
3,150,0.9,0.7150280396134112,0.0012349361651354251
4,5,0.0,0.7108805631786183,0.006188525042455523
4,5,0.1,0.7101992602314758,0.00976979386719929
4,5,0.5,0.7091468798472735,0.008934389522080413
4,5,0.9,0.7146832120272043,0.0018565834276243471
4,10,0.0,0.7081255220140794,0.010819770199695426
4,10,0.1,0.7098484667700752,0.006357635214903509
4,10,0.5,0.7143371912659586,0.001852353426587672
4,10,0.9,0.7150280396134112,0.0012349361651354251
4,15,0.0,0.7122670325736785,0.004328833285291172
4,15,0.1,0.7102004534065147,0.01183066529173395
4,15,0.5,0.713991170504713,0.0023602269001279296
4,15,0.9,0.7146832120272043,0.0018565834276243471
4,100,0.0,0.7139899773296741,0.002942676632679061
4,100,0.1,0.7150280396134112,0.0012349361651354251
4,100,0.5,0.7150280396134112,0.0012349361651354251
4,100,0.9,0.7150280396134112,0.0012349361651354251
4,150,0.0,0.7146820188521655,0.001322124628382947
4,150,0.1,0.7150280396134112,0.0012349361651354251
4,150,0.5,0.7150280396134112,0.0012349361651354251
4,150,0.9,0.7150280396134112,0.0012349361651354251
